PLAYER,SALARY ($),SEASON
Kyle Anderson,9309846,2022-2023
Victor Oladipo,9277520,2022-2023
Daniel Theis,9218535,2022-2023
LaMelo Ball,9143838,2022-2023
Seth Curry,9008899,2022-2023
Evan Mobley,8989885,2022-2023
Gary Payton II,8800390,2022-2023
Dewayne Dedmon,8783094,2022-2023
De'Anthony Melton,8747376,2022-2023
JaMychal Green,8694360,2022-2023
TJ McConnell,8588332,2022-2023
Keegan Murray,8491252,2022-2023
Kevon Looney,8482304,2022-2023
Thaddeus Young,8482304,2022-2023
Delon Wright,8275418,2022-2023
Patrick Williams,8244163,2022-2023
Scottie Barnes,8105477,2022-2023
Cedi Osman,7873792,2022-2023
Coby White,7860927,2022-2023
Zach Collins,7793116,2022-2023
Jaden Ivey,7689420,2022-2023
Taurean Prince,7528044,2022-2023
Jae'Sean Tate,7491164,2022-2023
Isaac Okoro,7465360,2022-2023
Cody Martin,7422016,2022-2023
Jalen Suggs,7339652,2022-2023
Jaxson Hayes,7213152,2022-2023
Khem Birch,7069470,2022-2023
Bennedict Mathurin,6983905,2022-2023
Patrick Mills,6869606,2022-2023
Bruce Brown,6869606,2022-2023
Lonnie Walker,6869606,2022-2023
Caleb Martin,6869606,2022-2023
Joe Ingles,6869606,2022-2023
Onyeka Okongwu,6780711,2022-2023
Josh Giddey,6666454,2022-2023
Rui Hachimura,6640783,2022-2023
Rudy Gay,6557351,2022-2023
Jevon Carter,6388234,2022-2023
Shaedon Sharpe,6375469,2022-2023
Cameron Payne,6361728,2022-2023
Otto Porter,6361728,2022-2023
Justin Holiday,6348977,2022-2023
Cam Reddish,6313436,2022-2023
Cameron Johnson,6242868,2022-2023
Ricky Rubio,6206564,2022-2023
Killian Hayes,6189706,2022-2023
PJ Washington,6158613,2022-2023
Jonathan Kuminga,6085883,2022-2023
Pat Connaughton,6073746,2022-2023
Tyler Herro,6067090,2022-2023
Romeo Langford,5973935,2022-2023
Dyson Daniels,5840702,2022-2023
JaVale McGee,5790465,2022-2023
Goga Bitadze,5701719,2022-2023
Obi Toppin,5670717,2022-2023
Franz Wagner,5575291,2022-2023
Kendrick Nunn,5566512,2022-2023
Hamidou Diallo,5513497,2022-2023
Cory Joseph,5466314,2022-2023
Garrett Temple,5466314,2022-2023
Torrey Craig,5430743,2022-2023
Jeremy Sochan,5368789,2022-2023
David Nwaba,5324766,2022-2023
Nickeil Alexander-Walker,5311653,2022-2023
Furkan Korkmaz,5301440,2022-2023
Deni Avdija,5212545,2022-2023
Davion Mitchell,5125008,2022-2023
Johnny Davis,5100324,2022-2023
Ty Jerome,5014046,2022-2023
Ishmael Smith,5009860,2022-2023
Jalen Smith,4951714,2022-2023
Ziaire Williams,4868503,2022-2023
Ousmane Dieng,4845346,2022-2023
Moe Harkless,4840193,2022-2023
Jeff Green,4771296,2022-2023
Donte DiVincenzo,4771296,2022-2023
Devin Vassell,4704497,2022-2023
Matisse Thybulle,4643558,2022-2023
Jarred Vanderbilt,4637699,2022-2023
James Bouknight,4625230,2022-2023
Brandon Clarke,4605805,2022-2023
Jalen Williams,4603219,2022-2023
Grant Williams,4565898,2022-2023
Darius Bazley,4521733,2022-2023
Tyrese Haliburton,4469241,2022-2023
Nassir Little,4423042,2022-2023
Josh Primo,4394172,2022-2023
Jalen Duren,4372924,2022-2023
Gorgui Dieng,4352732,2022-2023
Danuel House,4352482,2022-2023
Boban Marjanovic,4348747,2022-2023
Justise Winslow,4344594,2022-2023
Dylan Windler,4280676,2022-2023
Stanley Johnson,4264651,2022-2023
Kira Lewis,4245690,2022-2023
George Hill,4241152,2022-2023
Terence Davis,4241152,2022-2023
Chris Duarte,4174311,2022-2023
Alex Len,4154844,2022-2023
Ochai Agbaji,4154590,2022-2023
Jordan Poole,4136606,2022-2023
Keldon Johnson,4106520,2022-2023
Sviatoslav Mykhailiuk,4078816,2022-2023
James Johnson,4072637,2022-2023
Aaron Nesmith,4033717,2022-2023
Moses Moody,3965646,2022-2023
Mark Williams,3946434,2022-2023
Cole Anthony,3831541,2022-2023
Corey Kispert,3767033,2022-2023
AJ Griffin,3749348,2022-2023
Goran Dragic,3736201,2022-2023
Mike Muscala,3711008,2022-2023
Georges Niang,3673897,2022-2023
Isaiah Stewart,3640308,2022-2023
Chuma Okeke,3640308,2022-2023
Trey Burke,3630161,2022-2023
Amir Coffey,3599743,2022-2023
Alperen Sengun,3578853,2022-2023
Tari Eason,3561677,2022-2023
Aleksej Pokusevski,3458108,2022-2023
Kevin Porter,3411615,2022-2023
Trey Murphy,3399834,2022-2023
Simone Fontecchio,3398358,2022-2023
Derrick Jones,3392921,2022-2023
Andre Drummond,3392921,2022-2023
Dalen Terry,3383803,2022-2023
Sterling Brown,3310857,2022-2023
Josh Green,3285196,2022-2023
Jake LaRavia,3231376,2022-2023
Tre Mann,3229849,2022-2023
Kevin Knox,3180864,2022-2023
Saddiq Bey,3137477,2022-2023
Malaki Branham,3101978,2022-2023
Joe Wieskamp,3084654,2022-2023
Kai Jones,3084420,2022-2023
Blake Griffin,3081038,2022-2023
Robin Lopez,3081038,2022-2023
Markieff Morris,3081038,2022-2023
Andre Iguodala,3081038,2022-2023
Serge Ibaka,3081038,2022-2023
Udonis Haslem,3081038,2022-2023
Wesley Matthews,3081038,2022-2023
Austin Rivers,3081038,2022-2023
Bismack Biyombo,3081038,2022-2023
Taj Gibson,3081038,2022-2023
RJ Hampton,3072971,2022-2023
